start,end
9114,53401
65984,76370
481153,505069
633844,649666
688143,698808
945603,959521
1063178,1077915
1132683,1145904
1276903,1289690
1359225,1375369
1475093,1485481
1578720,1597320
1645251,1659704
1682159,1699899
1755567,1768621
1781562,1802106
1879939,1913472
2071656,2084051
2164870,2175606
2412410,2433000
2444340,2464485
2507886,2542326
2551642,2561697
2581583,2597717
2732404,2743007
2901629,2918733
2936674,2960123
2973394,2986719
3086850,3103860
3131369,3146894
3155987,3169946
3191553,3201560
3312925,3330826
3403685,3415689
3623471,3633622
3648661,3659095
3668703,3683609
3766820,3784358
3841628,3855850
4186199,4196236
4495428,4508620
4552248,4562665
4636970,4647686
4725313,4737564
4919632,4930397
5045396,5055631
5072229,5083547
5276004,5290851
5419195,5439075
5574027,5584684
5714336,5725647
5757680,5791310
5814134,5824890
5903353,5917373
5947600,5961690
5962132,5975576
6127295,6152437
6189205,6202080
6347855,6362056
6383982,6396745
6646741,6657998
6667998,6738767
6937648,6957677
6986935,6999599
7263236,7276961
7294197,7305644
7365086,7375172
7433889,7444762
7853921,7868930
8029422,8045045
8047363,8062732
8086651,8099918
8246471,8259248
8312920,8326794
8544055,8559468
8571821,8585983
8658184,8669142
8937400,8956505
9045294,9070010
9166152,9185064
9408104,9418432
9601694,9615161
9714800,9725449
9866080,9879334
9905721,9916547
9945775,9964304
10501060,10513984
10563815,10576389
10646808,10657003
10801992,10812428
10968111,10982069
11233123,11246607
11379348,11394554
11446461,11459992
11607339,11619502
11804116,11814339
12015659,12027175
12178335,12203250
12311606,12327360
12531140,12542216
12825258,12836526
12995924,13009158
13331373,13342858
13703955,13715906
13716379,13726969
13836355,13860449
13912290,13934445
14024513,14042710
14116034,14127477
14205162,14220033
14250213,14276589
14350730,14361263
14383681,14394148
14444149,14457000
14468805,14482482
14554876,14565362
14581022,14619455
14720440,14734350
14909513,14919624
14958874,14981628
14986752,15006794
15275761,15289901
15339821,15361594
15367993,15378503
15407160,15439190
15477057,15497587
15539939,15551190
15554709,15579086
15596645,15612888
15617071,15631517
15647312,15681381
15721805,15752484
15752707,15791146
15799753,15820059
15825425,15846017
15852737,15870656
15910091,15922727
15965646,15981678
16026847,16067170
16067445,16132499
16147142,16167897
16170678,16184157
16184621,16197082
16259417,16271275
16309829,16320139
16351601,16381555
16382177,16393973
16399797,16412020
16446683,16469580
16507163,16522583
16542322,16575148
16578515,16601557
16602776,16626228
16631206,16641793
16671259,16685038
16694667,16720715
16723892,16736331
16755720,16766598
16788510,16805027
16869000,16895739
16895961,16916117
16970490,16988828
17133616,17144355
17150971,17162097
17231056,17245598